Tabelle: 23131-0012
Krankenhauspatienten: Bundesländer, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;
Wohnort des Patienten;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Bundesländer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Baden-Württemberg;;Bayern;;Berlin;;Brandenburg;;Bremen;;Hamburg;;Hessen;;Mecklenburg-Vorpommern;;Niedersachsen;;Nordrhein-Westfalen;;Rheinland-Pfalz;;Saarland;;Sachsen;;Sachsen-Anhalt;;Schleswig-Holstein;;Thüringen;
2023;männlich;Deutschland;925930;e;1303191;e;381606;e;243485;e;82026;e;223735;e;599296;e;195555;e;750824;e;2001026;e;406946;e;116581;e;435922;e;249572;e;257523;e;262243;e
;;Baden-Württemberg;856500;e;29401;e;712;e;197;e;58;e;464;e;4360;e;246;e;705;e;2072;e;9605;e;475;e;533;e;201;e;512;e;346;e
;;Bayern;23941;e;1238589;e;833;e;267;e;64;e;525;e;8569;e;316;e;733;e;1858;e;920;e;217;e;2358;e;393;e;498;e;5518;e
;;Berlin;538;e;1273;e;313174;e;9945;e;42;e;361;e;403;e;1186;e;709;e;879;e;197;e;44;e;611;e;505;e;521;e;217;e
;;Brandenburg;187;e;615;e;56140;e;221851;e;21;e;345;e;195;e;5724;e;464;e;370;e;99;e;25;e;7424;e;2052;e;312;e;292;e
;;Bremen;73;e;150;e;115;e;48;e;49618;e;1017;e;122;e;59;e;5502;e;532;e;41;e;7;e;37;e;24;e;399;e;17;e
;;Hamburg;235;e;517;e;324;e;119;e;122;e;142173;e;254;e;401;e;1913;e;587;e;81;e;15;e;78;e;61;e;9000;e;66;e
;;Hessen;18028;e;10512;e;564;e;171;e;69;e;644;e;551853;e;208;e;7656;e;8884;e;15576;e;448;e;404;e;229;e;546;e;2172;e
;;Mecklenburg-Vorpommern;105;e;251;e;2378;e;2205;e;44;e;2302;e;133;e;182125;e;801;e;303;e;55;e;10;e;238;e;233;e;5000;e;112;e
;;Niedersachsen;911;e;2241;e;1561;e;655;e;31369;e;25738;e;4059;e;1691;e;693447;e;28323;e;475;e;96;e;624;e;4419;e;5268;e;1465;e
;;Nordrhein-Westfalen;2917;e;5330;e;1393;e;504;e;336;e;2019;e;10683;e;718;e;25174;e;1931395;e;6438;e;354;e;607;e;456;e;2019;e;494;e
;;Rheinland-Pfalz;19664;e;2241;e;285;e;91;e;43;e;329;e;14280;e;88;e;461;e;23095;e;366141;e;12361;e;170;e;107;e;247;e;151;e
;;Saarland;1443;e;417;e;62;e;19;e;5;e;52;e;481;e;21;e;67;e;364;e;6784;e;102444;e;31;e;17;e;48;e;33;e
;;Sachsen;482;e;2680;e;1278;e;2236;e;25;e;224;e;405;e;651;e;362;e;539;e;179;e;36;e;408707;e;2938;e;218;e;6319;e
;;Sachsen-Anhalt;229;e;675;e;1836;e;4716;e;43;e;382;e;287;e;735;e;5532;e;486;e;76;e;11;e;7612;e;234182;e;273;e;6956;e
;;Schleswig-Holstein;283;e;676;e;518;e;231;e;151;e;47006;e;333;e;1114;e;1966;e;812;e;137;e;22;e;123;e;148;e;232530;e;82;e
;;Thüringen;394;e;7623;e;433;e;230;e;16;e;154;e;2879;e;272;e;5332;e;527;e;142;e;16;e;6365;e;3607;e;132;e;238003;e
;;Ausland;5684;e;11000;e;2636;e;1483;e;206;e;1116;e;2510;e;681;e;2276;e;8460;e;2513;e;1908;e;1675;e;814;e;940;e;587;e
;;unbekannt;-;;-;;-;;-;;3;e;-;;3;e;-;;-;;-;;-;;3;e;-;;-;;-;;-;
;weiblich;Deutschland;1038806;e;1394816;e;407133;e;248342;e;90812;e;246258;e;656599;e;190418;e;815630;e;2208645;e;436824;e;124632;e;433051;e;249572;e;284705;e;261316;e
;;Baden-Württemberg;971117;e;31440;e;763;e;189;e;54;e;318;e;4682;e;291;e;628;e;2056;e;9606;e;428;e;384;e;178;e;588;e;307;e
;;Bayern;23043;e;1327825;e;894;e;215;e;68;e;417;e;8377;e;273;e;716;e;1721;e;798;e;149;e;2075;e;318;e;535;e;5231;e
;;Berlin;595;e;1413;e;340843;e;10974;e;45;e;412;e;428;e;1083;e;702;e;942;e;184;e;44;e;524;e;383;e;516;e;248;e
;;Brandenburg;227;e;588;e;53665;e;226289;e;17;e;284;e;202;e;5422;e;401;e;326;e;91;e;10;e;6699;e;1805;e;305;e;265;e
;;Bremen;86;e;172;e;107;e;32;e;57053;e;1024;e;120;e;53;e;5230;e;493;e;32;e;9;e;29;e;27;e;356;e;26;e
;;Hamburg;237;e;682;e;375;e;131;e;105;e;165572;e;284;e;355;e;2254;e;584;e;84;e;24;e;94;e;81;e;9641;e;49;e
;;Hessen;17408;e;11292;e;572;e;168;e;50;e;462;e;609058;e;189;e;6084;e;9656;e;15422;e;376;e;291;e;171;e;621;e;2231;e
;;Mecklenburg-Vorpommern;104;e;264;e;2183;e;1855;e;33;e;1991;e;84;e;178283;e;835;e;270;e;66;e;6;e;182;e;168;e;4753;e;119;e
;;Niedersachsen;1063;e;2368;e;1833;e;518;e;32891;e;23782;e;4394;e;1366;e;760079;e;27294;e;469;e;101;e;529;e;4384;e;5534;e;1459;e
;;Nordrhein-Westfalen;3064;e;5613;e;1341;e;376;e;270;e;1771;e;10182;e;619;e;26054;e;2139693;e;7606;e;285;e;397;e;384;e;2376;e;445;e
;;Rheinland-Pfalz;19129;e;2379;e;290;e;64;e;28;e;209;e;14744;e;80;e;426;e;23102;e;394875;e;12014;e;133;e;50;e;275;e;135;e
;;Saarland;1372;e;506;e;39;e;17;e;5;e;40;e;380;e;12;e;78;e;377;e;7106;e;111098;e;22;e;13;e;48;e;27;e
;;Sachsen;438;e;2256;e;1468;e;2337;e;12;e;177;e;393;e;661;e;314;e;459;e;139;e;35;e;409148;e;2328;e;210;e;5597;e
;;Sachsen-Anhalt;203;e;588;e;1761;e;4727;e;27;e;319;e;250;e;620;e;5379;e;386;e;62;e;15;e;6676;e;235635;e;197;e;5884;e
;;Schleswig-Holstein;340;e;803;e;523;e;230;e;132;e;49335;e;376;e;838;e;1891;e;786;e;163;e;19;e;108;e;108;e;258625;e;57;e
;;Thüringen;380;e;6627;e;476;e;220;e;22;e;145;e;2645;e;273;e;4559;e;500;e;121;e;19;e;5760;e;3539;e;125;e;239236;e
;;Ausland;4414;e;7466;e;1710;e;841;e;108;e;699;e;1521;e;347;e;1130;e;6129;e;1638;e;1604;e;885;e;285;e;595;e;225;e
;;unbekannt;-;;-;;-;;-;;2;e;-;;6;e;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Insgesamt;Deutschland;1964736;e;2698007;e;788739;e;491827;e;172838;e;469993;e;1255897;e;385973;e;1566454;e;4209671;e;843770;e;241213;e;868973;e;499144;e;542228;e;523559;e
;;Baden-Württemberg;1827617;e;60841;e;1475;e;386;e;112;e;782;e;9042;e;537;e;1333;e;4128;e;19211;e;903;e;917;e;379;e;1100;e;653;e
;;Bayern;46984;e;2566414;e;1727;e;482;e;132;e;942;e;16946;e;589;e;1449;e;3579;e;1718;e;366;e;4433;e;711;e;1033;e;10749;e
;;Berlin;1133;e;2686;e;654017;e;20919;e;87;e;773;e;831;e;2269;e;1411;e;1821;e;381;e;88;e;1135;e;888;e;1037;e;465;e
;;Brandenburg;414;e;1203;e;109805;e;448140;e;38;e;629;e;397;e;11146;e;865;e;696;e;190;e;35;e;14123;e;3857;e;617;e;557;e
;;Bremen;159;e;322;e;222;e;80;e;106671;e;2041;e;242;e;112;e;10732;e;1025;e;73;e;16;e;66;e;51;e;755;e;43;e
;;Hamburg;472;e;1199;e;699;e;250;e;227;e;307745;e;538;e;756;e;4167;e;1171;e;165;e;39;e;172;e;142;e;18641;e;115;e
;;Hessen;35436;e;21804;e;1136;e;339;e;119;e;1106;e;1160912;e;397;e;13740;e;18540;e;30998;e;824;e;695;e;400;e;1167;e;4403;e
;;Mecklenburg-Vorpommern;209;e;515;e;4561;e;4060;e;77;e;4293;e;217;e;360408;e;1636;e;573;e;121;e;16;e;420;e;401;e;9753;e;231;e
;;Niedersachsen;1974;e;4609;e;3394;e;1173;e;64260;e;49520;e;8453;e;3057;e;1453526;e;55617;e;944;e;197;e;1153;e;8803;e;10802;e;2924;e
;;Nordrhein-Westfalen;5981;e;10943;e;2734;e;880;e;606;e;3790;e;20866;e;1337;e;51228;e;4071088;e;14044;e;639;e;1004;e;840;e;4395;e;939;e
;;Rheinland-Pfalz;38793;e;4620;e;575;e;155;e;71;e;538;e;29024;e;168;e;887;e;46197;e;761016;e;24375;e;303;e;157;e;522;e;286;e
;;Saarland;2815;e;923;e;101;e;36;e;10;e;92;e;861;e;33;e;145;e;741;e;13890;e;213542;e;53;e;30;e;96;e;60;e
;;Sachsen;920;e;4936;e;2746;e;4573;e;37;e;401;e;798;e;1312;e;676;e;998;e;318;e;71;e;817855;e;5266;e;428;e;11916;e
;;Sachsen-Anhalt;432;e;1263;e;3597;e;9443;e;70;e;701;e;537;e;1355;e;10911;e;872;e;138;e;26;e;14288;e;469817;e;470;e;12840;e
;;Schleswig-Holstein;623;e;1479;e;1041;e;461;e;283;e;96341;e;709;e;1952;e;3857;e;1598;e;300;e;41;e;231;e;256;e;491155;e;139;e
;;Thüringen;774;e;14250;e;909;e;450;e;38;e;299;e;5524;e;545;e;9891;e;1027;e;263;e;35;e;12125;e;7146;e;257;e;477239;e
;;Ausland;10098;e;18466;e;4346;e;2324;e;314;e;1815;e;4031;e;1028;e;3406;e;14589;e;4151;e;3512;e;2560;e;1099;e;1535;e;812;e
;;unbekannt;-;;-;;-;;-;;5;e;-;;9;e;-;;-;;-;;-;;3;e;-;;-;;-;;-;
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 04.12.2024 / 02:07:41
