Tabelle: 23131-0005
Krankenhauspatienten: Deutschland, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;;;
Wohnort des Patienten;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Wohnort des Patienten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Deutschland;;Baden-Württemberg;;Bayern;;Berlin;;Brandenburg;;Bremen;;Hamburg;;Hessen;;Mecklenburg-Vorpommern;;Niedersachsen;;Nordrhein-Westfalen;;Rheinland-Pfalz;;Saarland;;Sachsen;;Sachsen-Anhalt;;Schleswig-Holstein;;Thüringen;;Ausland;;unbekannt;
männlich;2014;9241703;e;1029064;e;1403870;e;349799;e;321575;e;68609;e;175384;e;667526;e;207020;e;872328;e;2136728;e;483811;e;127385;e;486531;e;309992;e;311559;e;290522;e;56083;e;772;e
;2015;9344535;e;1041363;e;1418202;e;358558;e;325055;e;68980;e;178330;e;676561;e;209466;e;883677;e;2157569;e;485299;e;129842;e;490640;e;309449;e;317443;e;294101;e;58185;e;758;e
;2016;9496908;e;1057850;e;1440257;e;369123;e;331858;e;69413;e;179716;e;688052;e;210884;e;900144;e;2205085;e;496240;e;132362;e;490071;e;313035;e;317578;e;295240;e;58826;e;349;e
;2017;9465908;e;1060154;e;1434148;e;373179;e;332537;e;69714;e;175510;e;689108;e;211839;e;896267;e;2195342;e;492939;e;130465;e;479681;e;309347;e;320826;e;294852;e;57371;e;375;e
;2018;9427596;e;1055209;e;1440826;e;379188;e;334661;e;69359;e;172435;e;667242;e;209363;e;889810;e;2191376;e;489320;e;130885;e;482308;e;305703;e;316780;e;293131;e;58216;e;456;e
;2019;9478367;e;1054995;e;1450804;e;379958;e;335253;e;66366;e;173990;e;685198;e;211514;e;890855;e;2205160;e;492063;e;130351;e;483548;e;304289;e;320216;e;293807;e;57264;e;239;e
;2020;8283048;e;928662;e;1251384;e;333904;e;291238;e;58159;e;153181;e;597609;e;189823;e;776729;e;1914067;e;428083;e;114446;e;433660;e;270598;e;284078;e;257427;e;39199;e;175;e
;2021;8193677;e;924478;e;1231564;e;318068;e;280867;e;58062;e;152911;e;598864;e;185873;e;781532;e;1925116;e;423474;e;111897;e;409882;e;256703;e;285460;e;248926;e;38635;e;29;e
;2022;8264728;e;920134;e;1256663;e;325611;e;284516;e;55194;e;150728;e;610683;e;187923;e;779955;e;1941110;e;430192;e;111422;e;417704;e;257818;e;278728;e;256347;e;44009;e;527;e
;2023;8435461;e;906387;e;1285599;e;330605;e;296116;e;57761;e;155946;e;617964;e;196295;e;802342;e;1990837;e;439754;e;112288;e;427279;e;264031;e;286132;e;266125;e;44489;e;9;e
weiblich;2014;10289948;e;1131406;e;1548970;e;404059;e;341445;e;78585;e;207835;e;753497;e;213217;e;975498;e;2447090;e;536700;e;141535;e;521199;e;327798;e;350245;e;310869;e;43868;e;372;e
;2015;10309604;e;1136367;e;1556144;e;408189;e;341779;e;78456;e;208874;e;757837;e;212786;e;979892;e;2455657;e;533139;e;142910;e;516122;e;325027;e;348429;e;307996;e;44695;e;479;e
;2016;10463180;e;1150533;e;1578517;e;420054;e;348293;e;78301;e;209810;e;771115;e;214771;e;995245;e;2500268;e;542744;e;146384;e;516168;e;327017;e;353901;e;310059;e;44197;e;200;e
;2017;10387108;e;1142447;e;1579872;e;419996;e;347702;e;77359;e;204857;e;764825;e;212893;e;987860;e;2480617;e;539730;e;143644;e;505198;e;320043;e;354271;e;305794;e;41663;e;161;e
;2018;10280787;e;1134278;e;1578280;e;421420;e;345063;e;77996;e;200313;e;739121;e;210916;e;971056;e;2464466;e;530968;e;143145;e;500460;e;314353;e;346554;e;302398;e;41418;e;205;e
;2019;10280052;e;1128266;e;1573442;e;418928;e;343062;e;74347;e;201822;e;757384;e;209700;e;968774;e;2468442;e;534837;e;143460;e;496469;e;311380;e;348976;e;300763;e;39713;e;82;e
;2020;8917491;e;986476;e;1351313;e;367260;e;295576;e;65222;e;177814;e;655574;e;186903;e;846381;e;2120257;e;459689;e;121590;e;440422;e;273272;e;309357;e;260385;e;25160;e;51;e
;2021;8901579;e;997882;e;1348589;e;352793;e;284914;e;65162;e;180015;e;662747;e;183890;e;857316;e;2153187;e;456721;e;121611;e;417300;e;257054;e;313580;e;248818;e;23615;e;10;e
;2022;8867687;e;978636;e;1347403;e;356312;e;285312;e;63036;e;174749;e;667606;e;183605;e;847714;e;2148977;e;458644;e;119335;e;419773;e;256721;e;305619;e;254245;e;28332;e;297;e
;2023;9087559;e;1023029;e;1372655;e;359336;e;296596;e;64849;e;180552;e;674051;e;191196;e;868064;e;2200476;e;467933;e;121140;e;425972;e;262729;e;314334;e;264647;e;29597;e;8;e
Insgesamt;2014;19531669;e;2160478;e;2952840;e;753858;e;663020;e;147194;e;383219;e;1421024;e;420237;e;1847827;e;4583818;e;1020518;e;268920;e;1007731;e;637790;e;661804;e;601391;e;99951;e;1144;e
;2015;19654144;e;2177730;e;2974346;e;766747;e;666834;e;147436;e;387204;e;1434398;e;422252;e;1863569;e;4613226;e;1018438;e;272757;e;1006762;e;634476;e;665872;e;602097;e;102880;e;1237;e
;2016;19960117;e;2208383;e;3018774;e;789177;e;680151;e;147714;e;389540;e;1459171;e;425655;e;1895394;e;4705353;e;1038986;e;278748;e;1006239;e;640052;e;671481;e;605299;e;103023;e;549;e
;2017;19853165;e;2202625;e;3014020;e;793176;e;680239;e;147073;e;380379;e;1453941;e;424738;e;1884128;e;4675959;e;1032672;e;274116;e;984880;e;629390;e;675183;e;600646;e;99034;e;536;e
;2018;19708391;e;2189487;e;3019106;e;800608;e;679724;e;147355;e;372748;e;1406364;e;420279;e;1860866;e;4655842;e;1020288;e;274037;e;982768;e;620056;e;663334;e;595529;e;99635;e;661;e
;2019;19758486;e;2183268;e;3024249;e;798886;e;678315;e;140713;e;375815;e;1442622;e;421215;e;1859633;e;4673602;e;1026900;e;273816;e;980017;e;615669;e;669196;e;594570;e;96977;e;321;e
;2020;17200556;e;1915153;e;2602697;e;701164;e;586814;e;123381;e;330995;e;1253185;e;376726;e;1623110;e;4034324;e;887772;e;236036;e;874082;e;543870;e;593435;e;517812;e;64360;e;226;e
;2021;17095260;e;1922360;e;2580153;e;670861;e;565781;e;123224;e;332926;e;1261615;e;369763;e;1638848;e;4078303;e;880195;e;233508;e;827182;e;513757;e;599040;e;497744;e;62250;e;39;e
;2022;17132419;e;1898772;e;2604066;e;681923;e;569828;e;118230;e;325477;e;1278291;e;371528;e;1627669;e;4090087;e;888836;e;230757;e;837477;e;514539;e;584347;e;510592;e;72342;e;824;e
;2023;17523022;e;1929416;e;2658254;e;689941;e;592712;e;122610;e;336498;e;1292016;e;387491;e;1670406;e;4191314;e;907687;e;233428;e;853251;e;526760;e;600466;e;530772;e;74086;e;17;e
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 14.07.2025 / 09:04:22
